"ID","A1","A2","A3","A4","D1","D2","D3","D4","L1","L2","L3","L4","S1","S3","S4","S5","Gene.name"
"ENSRNOG00000049248",0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,2,"AABR07007905.1"
"ENSRNOG00000053229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007905.2"
"ENSRNOG00000059256",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,"RF00026"
"ENSRNOG00000013252",83,119,131,119,150,268,311,414,281,292,246,244,287,282,215,303,"Cwc27"
"ENSRNOG00000013372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shisal2b"
"ENSRNOG00000013389",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,"AABR07007916.1"
"ENSRNOG00000049554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910224"
"ENSRNOG00000052866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007924.1"
"ENSRNOG00000058097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910086"
"ENSRNOG00000053897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100909993"
"ENSRNOG00000061331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910041"
"ENSRNOG00000047687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910378"
"ENSRNOG00000047953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910111"
"ENSRNOG00000048588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910145"
"ENSRNOG00000047601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007928.1"
"ENSRNOG00000057610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100909937"
"ENSRNOG00000060027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910051"
"ENSRNOG00000059867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910335"
"ENSRNOG00000049977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007931.1"
"ENSRNOG00000046359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC103693054"
"ENSRNOG00000054595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910543"
"ENSRNOG00000052652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910500"
"ENSRNOG00000043329",1,1,3,2,1,1,6,5,4,5,1,4,0,3,2,6,"Rnf180"
"ENSRNOG00000058150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000045693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC108348103"
"ENSRNOG00000045824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Spink14"
"ENSRNOG00000048570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC100910942"
"ENSRNOG00000051016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC103694201"
"ENSRNOG00000010254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Htr1a"
"ENSRNOG00000051778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007978.1"
"ENSRNOG00000053154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"AABR07007980.1"
"ENSRNOG00000057850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007980.2"
"ENSRNOG00000053187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC102556361"
"ENSRNOG00000056598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007987.1"
"ENSRNOG00000052536",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"RF00026"
"ENSRNOG00000039717",143,95,107,150,13,19,31,46,62,169,89,101,188,113,114,142,"Ipo11"
"ENSRNOG00000013596",58,85,98,93,27,31,49,83,128,150,121,139,176,165,123,127,"Dimt1"
"ENSRNOG00000014000",49,51,45,51,50,43,86,137,96,227,146,152,280,183,161,219,"Kif2a"
"ENSRNOG00000055768",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"RF00493"
"ENSRNOG00000056782",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"RF00494"
"ENSRNOG00000061053",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"AABR07007997.1"
"ENSRNOG00000029670",11,15,10,8,10,9,20,41,28,32,34,27,26,32,38,29,"RGD1564606"
"ENSRNOG00000054290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
